Hello,Hello World!
Hello,Hello World!
what%20is%20the%20time%20now,"Today is Wednesday, 8/30/2023"
time,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=time'>time</a>
what%20is%20the%20date%20today,"Today is Wednesday, 8/30/2023"
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
hello,Hello World!
what%20is%20ur%20name,ChatBot.
hhhh,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hhhh'>hhhh</a>
who%20is%20ur%20mentor,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=who%20is%20ur%20mentor'>who is ur mentor</a>
what%20is%20the%20time,The time is now 1:33 PM EST
Hello,Hello World!
Hi,Hello World!
what%20is%20ur%20name,Nathai
who%20are%20you,I am Nathai - chatbot mentored and trained by Shrinath
name,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=name'>name</a>
your%20name,Nathai
ur%20friends,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=ur%20friends'>ur friends</a>
who%20are%20your%20friends,"Mani, Midhun and Madhu are my friends"
who%20are%20ur%20friends,"Mani, Midhun and Madhu are my friends"
